URL	STATUS	TITLE	CANONICAL	ERROR
https://drzeewrites.com/	200	Dr Zee — Physician &amp; Medical Content Specialist 	yes	no
https://drzeewrites.com/about	200	About Dr Zee — Physician &amp; Medical Content Specialist 	yes	no
https://drzeewrites.com/blog	200	Medical Writing Resources &amp; Insights | Dr Zee 	yes	no
https://drzeewrites.com/blog/e-eat-in-medical-writing	200	Why Google&#x27;s E-E-A-T Is a Clinical Standard, Not an SEO Trick — Dr Zee 	yes	no
https://drzeewrites.com/blog/plain-language-clinical-precision	200	Plain Language Without Diluting Clinical Precision — Dr Zee 	yes	no
https://drzeewrites.com/blog/reading-paediatric-trials	200	How I Read a Paediatric Trial Before Citing It — Dr Zee 	yes	no
https://drzeewrites.com/childcare	200	Childcare Guidance for Parents | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/childcare/baby-first-week-at-daycare	200	Baby’s First Week at Daycare: A Practical Parent Plan | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/childcare/daycare-illness-policy-questions	200	What Should a Daycare’s Illness Policy Include? A Parent’s Guide | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/childcare/daycare-nap-and-sleep-questions	200	Daycare Nap and Sleep Questions for Infants | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/childcare/daycare-safety-checklist-for-infants	200	Daycare Safety Checklist for Infants: What Parents Should Look For | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/childcare/home-daycare-or-childcare-center	200	Home Daycare or Childcare Center: What Should Parents Compare? | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/childcare/prepare-baby-for-daycare	200	How to Prepare Your Baby for Daycare: Feeding, Sleep, and Drop-Off | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/childcare/questions-to-ask-before-choosing-daycare	200	Questions to Ask Before Choosing a Daycare: A Pediatrician’s Checklist | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/childcare/return-to-daycare-after-fever	200	When Can a Child Return to Daycare After a Fever? | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/childcare/what-to-pack-for-daycare	200	What to Pack for Daycare: Infant and Toddler Checklist | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/childcare/when-to-keep-child-home-from-daycare	200	When Should a Child Stay Home From Daycare? A Parent’s Guide | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/contact	200	Contact Dr Zee — Physician Medical Writer 	yes	no
https://drzeewrites.com/cv	200	CV — Dr Zee, Physician &amp; Medical Content Specialist 	yes	no
https://drzeewrites.com/portfolio	200	Medical Writing Portfolio — 24 Samples | Dr Zee 	yes	no
https://drzeewrites.com/publications	200	Publications &amp; Research — Dr Zee, Physician Writer 	yes	no
https://drzeewrites.com/reviews/pediatric-community-acquired-pneumonia	200	Evidence-Based Management of Pediatric Community-Acquired Pneumonia — Literature Review | DrZeeWrites 	yes	no
https://drzeewrites.com/reviews/probiotics-acute-gastroenteritis-children	200	Probiotics for Acute Gastroenteritis in Children — Literature Review | DrZeeWrites 	yes	no
https://drzeewrites.com/reviews/vitamin-d-supplementation-children	200	Vitamin D Supplementation in Children — Literature Review | DrZeeWrites 	yes	no
https://drzeewrites.com/services	200	Medical Writing Services for Healthcare Teams | Dr Zee 	yes	no
https://drzeewrites.com/testimonials	200	Client Testimonials — Dr Zee Medical Writing 	yes	no
https://drzeewrites.com/tools	200	Free Pediatric Tools for Parents | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/tools/baby-feeding-diaper-log	200	Baby Feeding and Diaper Log | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/tools/childcare-illness-conversation-guide	200	Childcare Illness Conversation Guide | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/tools/daycare-tour-question-builder	200	Daycare Tour Question Builder | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/tools/infant-handover-sheet	200	Infant Handover Sheet | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/tools/pediatric-appointment-checklist	200	Pediatric Appointment Checklist | Dr Zee, Paediatrician 	yes	no
https://drzeewrites.com/tools/toddler-daycare-routine-planner	200	Toddler Daycare Routine Planner | Dr Zee, Paediatrician 	yes	no
